"character" "dialogue"
 "luke" "they were in pain."
 "yoda" "it is the future you see."
 "luke" "future? will they die?"
 "yoda" "difficult to see. always in motion is the future."
 "luke" "i've got to go to them."
 "yoda" "decide you must how to serve them best. if you leave now, help  them you could. but you would destroy all for which they have fought and suffered."
 "han" "no, i don't have a landing permit. i'm trying  to reach lando calrissian."
 "han" "whoa! wait a minute! let me explain."
 "intercom voice" "you will not deviate from your present course."
 "threepio" "rather touchy, aren't they?"
 "leia" "i thought you knew this person."
 "han" "well, that was a long time ago. i'm sure he's  forgotten about that."
 "intercom voice" "permission granted to land on platform  three-two-seven."
 "han" "thank you."
 "han" "there's nothing to worry about. we go way back, lando and me."
 "leia" "who's worried?"
 "threepio" "oh. no one to meet us."
 "leia" "i don't like this."
 "han" "well, what would you like?"
 "threepio" "well, they did let us land."
 "han" "look, don't worry. everything's going to be fine. trust me."
 "han" "see? my friend.  keep your eyes open, okay?"
 "lando" "why, you slimy, double-crossing, no-good swindler! you've got a  lot of guts coming here, after what you pulled."
 "lando" "how you doing, you old pirate? so good to see you! i  never thought i'd catch up with you again. where you been?"
 "threepio" "well, he seems very friendly."
 "leia" "yes...very friendly."
 "lando" "what are you doing here?"
 "han" "ahh...repairs. i thought you could  help me out."
 "lando" "what have you done to my ship?"
 "han" "your ship? hey, remember, you lost her to me fair and square."
 "lando" "hello. what have we here? welcome. i'm lando calrissian. i'm  the administrator of this facility. and who might you be?"
 "leia" "leia."
 "lando" "welcome, leia."
 "han" "all right, all right, you old smoothie."
 "threepio" "hello, sir. i am see-threepio, human-cyborg relations. my  facilities are at your..."
 "threepio" "well, really!"
 "lando" "what's wrong with the falcon?"
 "han" "hyperdrive."
 "lando" "i'll get my people to work on it."
 "han" "good."
 "lando" "you know, that ship saved my life quite a few times. she's the  fastest hunk of junk in the galaxy."
 "han" "how's the gas mine? is it paying off for you?"
 "lando" "oh, not as well as i'd like. we're a small outpost and not very  self-sufficient. and i've had supply problems of every kind. i've had labor difficulties... what's so funny?"
 "han" "you. listen to you -- you sound like a businessman, a responsible  leader. who'd have thought that, huh?"
 "lando" "you know, seeing you sure brings back a few things."
 "han" "yeah."
 "lando" "yeah, i'm responsible these days. it's the  price you pay for being successful."
 "threepio" "oh! nice to see a familiar face."
 "second threepio" "e chu ta!"
 "threepio" "how rude!"
 "threepio" "that sounds like an r2 unit in there. i wonder if..."
 "threepio" "hello? how interesting. oh, my."
 "man" "who are you?"
 "threepio" "oh, i'm terribly sorry. i...i didn't mean to intrude. no,  no, please don't get up. no!"
 "yoda" "luke! you must complete the training."
 "luke" "i can't keep the vision out of my head. they're my friends. i've  got to help them."
 "yoda" "you must not go!"
 "luke" "but han and leia will die if i don't."
 "ben" "you don't know that."
 "ben" "even yoda cannot see their fate."
 "luke" "but i can help them! i feel the force!"
 "ben" "but you cannot control it. this is a dangerous time for you, when  you will be tempted by the dark side of the force."
 "yoda" "yes, yes. to obi-wan you listen. the cave. remember your failure  at the cave!"
 "luke" "but i've learned so much since then. master yoda, i promise to  return and finish what i've begun. you have my word."
 "ben" "it is you and your abilities the emperor wants. that is why your  friends are made to suffer."
 "luke" "and that is why i have to go."
 "ben" "luke, i don't want to lose you to the emperor the way i lost  vader."
 "luke" "you won't."
 "yoda" "stopped they must be. on this depends. only a fully trained jedi  knight with the force as his ally will conquer vader and his emperor. if you end your training now, if you choose the quick and easy path, as vader did, you will become an agent of evil."
 "ben" "patience."
 "luke" "and sacrifice han and leia?"
 "yoda" "if you honor what they fight for...yes!"
 "ben" "if you choose to face vader, you will do it alone. i cannot  interfere."
 "luke" "i understand.  artoo, fire up the  converters."
 "ben" "luke, don't give in to hate -- that leads to the dark side."
 "yoda" "strong is vader. mind what you have learned. save you it can."
 "luke" "i will. and i'll return. i promise."
 "yoda" "told you, i did. reckless is he. now matters are worse."
 "ben" "that boy is our last hope."
 "yoda" "no. there is another."
 "han" "the ship is almost finished. two or three more things and we're  in great shape."
 "leia" "the sooner the better. something's wrong here. no one has seen  or knows anything about threepio. he's been gone too long to have gotten lost."
 "han" "relax. i'll talk to lando and see what i can find out."
 "leia" "i don't trust lando."
 "han" "well, i don't trust him, either. but he is my friend. besides,  we'll soon be gone."
 "leia" "and then you're as good as gone, aren't you?"
 "leia" "what happened?"
 "han" "where? found him in a junk pile?"
 "leia" "oh, what a mess. chewie, do you think you can repair him?"
 "han" "lando's got people who can fix him."
 "leia" "no, thanks."
 "lando" "i'm sorry. am i interrupting anything?"
 "leia" "not really."
 "lando" "you look absolutely beautiful. you truly belong here with us  among the clouds."
 "leia" "thank you."
 "lando" "will you join me for a little refreshment?"
 "lando" "everyone's invited, of course."
 "lando" "having trouble with you droid?"
 "han" "no. no problem. why?"
 "lando" "so you see, since we're a small operation, we don't fall into  the...uh...jurisdiction of the empire."
 "leia" "so you're part of the mining guild then?"
 "lando" "no, not actually. our operation is small enough not to be  noticed...which is advantageous for everybody since our customers are anxious to avoid attracting attention to themselves."
 "han" "aren't you afraid the empire's going to find out about this  little operation and shut you down?"
 "lando" "that's always been a danger looming like a shadow over  everything we've built here. but things have developed that will insure security. i've just made a deal that will keep the empire out of here forever."
 "vader" "we would be honored if you would join us."
 "lando" "i had no choice. they arrived right before you did. i'm sorry."
 "han" "i'm sorry, too."
 "luke" "no, threepio's with them."
 "luke" "just hang on. we're almost there."
 "threepio" "mmmm. oh, my. uh, i, uh -- take this off! i, uh, don't mean  to intrude here. i, don't, no, no, no...please don't get up. no!"
 "threepio" "stormtroopers? here? we're in danger. i must tell the  others. oh, no! i've been shot!"
 "lando" "lord vader."
 "vader" "you may take captain solo to jabba the hut after i  have skywalker."
 "boba fett" "he's no good to me dead."
 "vader" "he will not be permanently damaged."
 "lando" "lord vader, what about leia and the wookiee?"
 "vader" "they must never again leave this city."
 "lando" "that was never a condition of our agreement, nor was giving han  to this bounty hunter!"
 "vader" "perhaps you think you're being treated unfairly."
 "lando" "no."
 "vader" "good. it would be unfortunate if i had to leave a garrison  here."
 "lando" "this deal's getting worse all the time."
 "threepio" "oh, yes, that's very good. i like that. oh! something's not  right because now i can't see. wait. wait! oh, my! what have you done? i'm backwards, you stupid furball. only an overgrown mophead like you would be stupid enough..."
 "han" "i feel terrible."
 "leia" "why are they doing this?"
 "han" "they never even asked me any questions."
 "leia" "lando."
 "han" "get out of here, lando!"
 "lando" "shut up and listen! vader has agreed to turn leia and chewie  over to me."
 "han" "over to you?"
 "lando" "they'll have to stay here, but at least they'll be safe."
 "leia" "what about han?"
 "lando" "vader's giving him to the bounty hunter."
 "leia" "vader wants us all dead."
 "lando" "he doesn't want you at all. he's after somebody called  skywalker."
 "han" "luke?"
 "lando" "lord vader has set a trap for him."
 "leia" "and we're the bait."
 "lando" "well, he's on his way."
 "han" "perfect. you fixed us all pretty good, didn't you?   my friend!"
 "lando" "stop! i've done all i can do. i'm sorry i couldn't do better,  but i have my own problems."
 "han" "yeah, you're a real hero."
 "leia" "you certainly have a way with people."
 "vader" "this facility is crude, but it should be adequate to freeze  skywalker for his journey to the emperor."
 "imperial soldier" "lord vader, ship approaching. x-wing class."
 "vader" "good. monitor skywalker and allow him to land."
 "lando" "lord vader, we only use this facility for carbon freezing. if  you put him in there, it might kill him."
 "vader" "i do not want the emperor's prize damaged. we will test it...on  captain solo."
 "threepio" "if only you had attached my legs, i wouldn't be in this  ridiculous position. now, remember, chewbacca, you have a responsibility to me, so don't do anything foolish."
 "han" "what's going on...buddy?"
 "lando" "you're being put into carbon freeze."
 "boba fett" "what if he doesn't survive? he's worth a lot to me."
 "vader" "the empire will compensate you if he dies. put him in!"
 "threepio" "oh, no! no, no, no! stop, chewbacca, stop...!"
 "han" "stop, chewie, stop! do you hear me? stop!"
 "threepio" "yes, stop, please! i'm not ready to die."
 "han" "chewie! chewie, this won't help me. hey!"
 "han" "save your strength. there'll be another time. the princess -- you  have to take care of her. you hear me?"
 "leia" "i love you!"
 "han" "i know."
 "threepio" "what...what's going on? turn around, chewbacca, i can't see.  oh...they've encased him in carbonite. he should be quite well-protected -- if he survives the freezing process, that is."
 "vader" "well, calrissian, did he survive?"
 "lando" "yes, he's alive. and in perfect hibernation."
 "vader" "he's all yours bounty hunter. reset the chamber for skywalker."
 "imperial officer" "skywalker has just landed, my lord."
 "vader" "good. see to it that he finds his way here. calrissian, take  the princess and the wookiee to my ship."
 "lando" "you said they'd be left in the city under my supervision."
 "vader" "i am altering the deal. pray i don't alter it any further."
 "leia" "luke! luke, don't -- it's a trap! it's a trap!"
 "vader" "the force is with you, young skywalker. but you are not a jedi  yet."
 "lando" "well done. hold them in the security tower -- and keep it  quiet. move."
 "leia" "what do you think you're doing?"
 "lando" "we're getting out of here."
 "threepio" "i knew all along it had to be a mistake."
 "leia" "do you think that after what you did to han we're going to trust  you?"
 "lando" "i had no choice..."
 "threepio" "what are you doing? trust him, trust him!"
 "leia" "oh, so we understand, don't we, chewie? he had no choice."
 "lando" "i'm just trying to help..."
 "leia" "we don't need any of your help."
 "lando" "h-a-a-a..."
 "leia" "what?"
 "threepio" "it sounds like han."
 "lando" "there's still a chance to save han...i mean, at the east  platform..."
 "leia" "chewie."
 "threepio" "i'm terribly sorry about all this. after all,  he's only a wookiee."
 "boba fett" "put captain solo in the cargo hold."
 "threepio" "artoo! artoo! where have you been?"
 "threepio" "turn around, you wooly...!  hurry, hurry! we're  trying to save han from the bounty hunter!"
 "threepio" "well, at least your still in one piece! look what happened  to me!"
 "threepio" "oh, no! chewie, they're behind you!"
 "vader" "you have learned much, young one."
 "luke" "you'll find i'm full of surprises."
 "vader" "your destiny lies with me, skywalker. obi-wan knew this to be  true."
 "luke" "no!"
 "vader" "all to easy. perhaps you are not as strong as the emperor  thought."
 "vader" "impressive...most impressive."
 "vader" "obi-wan has taught you well. you have controlled your fear...  now release your anger."
 "vader" "only your hatred can destroy me."
 "lando" "the security codes has been changed!"
 "threepio" "artoo, you can tell the computer to override the security  system."
 "lando" "attention! this is lando calrissian. the empire has takes  control of the city. i advise everyone to leave before more imperial troops arrive."
 "lando" "this way."
 "threepio" "don't blame me. i'm an interpreter. i'm not supposed to know  a power socket from a computer terminal."
 "threepio" "what are you talking about? we're not interested in the  hyperdrive on the millennium falcon. it's fixed! just open the door, you stupid lump."
 "threepio" "i never doubted you for a second. wonderful!"
 "threepio" "ouch! oh! ah! that hurt, bend down, you thoughtless...ow!"
 "lando" "leia! go!"
 "threepio" "i thought that hairy beast would be the end of me. of  course, i've looked better."
 "vader" "you are beaten. it is useless to resist. don't let yourself be  destroyed as obi-wan did."
 "vader" "there is no escape. don't make me destroy you. you do not yet  realize your importance. you have only begun to discover you power. join me and i will complete your training. with our combined strength, we can end this destructive conflict and bring order to the galaxy."
 "luke" "i'll never join you!"
 "vader" "if you only knew the power of the dark side. obi-wan never told  you what happened to your father."
 "luke" "he told me enough! he told me you killed him."
 "vader" "no. i am your father."
 "luke" "no. no. that's not true! that's impossible!"
 "vader" "search your feelings. you know it to be true."
 "luke" "no! no! no!"
 "vader" "luke. you can destroy the emperor. he has foreseen this. it is  your destiny. join me, and we can rule the galaxy as father and son. come with me. it's the only way."
 "luke" "ben...ben, please!"
 "luke" "ben. leia!"
 "luke" "hear me! leia!"
 "leia" "luke...we've got to go back."
 "lando" "what?"
 "leia" "i know where luke is."
 "lando" "but what about those fighter?"
 "leia" "chewie, just do it."
 "lando" "but what about vader?"
 "lando" "all right, all right, all right."
 "vader" "bring my shuttle."
 "lando" "look, someone's up there."
 "leia" "it's luke. chewie, slow down. slow down and we'll get under him.  lando, open the top hatch."
 "leia" "okay. easy, chewie."
 "leia" "lando?"
 "lando" "okay, let's go."
 "luke" "oh, leia."
 "lando" "all right, chewie. let's go."
 "leia" "i'll be back."
 "leia" "star destroyer."
 "lando" "all right, chewie. ready for light-speed."
 "leia" "if your people fixed the hyperdrive."
 "leia" "all the coordinates are set. it's now or never."
 "lando" "punch it!"
 "lando" "they told me they fixed it. i trusted them to fix it. it's not  my fault!"
 "piett" "they'll be in range of our tractor beam in moments, lord."
 "vader" "did your men deactivate the hyperdrive on the millennium  falcon?"
 "piett" "yes, my lord."
 "vader" "good. prepare the boarding party and set for your weapons for  stun."
 "piett" "yes, my lord."
 "threepio" "noisy brute. why don't we just go into light-speed?"
 "threepio" "we can't? how would you know the hyperdrive is deactivated?"
 "threepio" "the city's central computer told you? artoo-detoo, you know  better than to trust a strange computer. ouch! pay attention to what you're doing!"
 "vader" "luke."
 "luke" "father."
 "vader" "son, come with me."
 "luke" "ben, why didn't you tell me?"
 "lando" "chewie!"
 "luke" "it's vader."
 "vader" "luke...it is your destiny."
 "luke" "ben, why didn't you tell me?"
 "piett" "alert all commands. ready for the tractor beam."
 "threepio" "artoo, come back at once! you haven't finished with me yet!  you don't know how to fix the hyperdrive. chewbacca can do it. i'm standing here in pieces, and you're having delusions of grandeur!"
 "threepio" "oh, you did it!"
 "lando" "luke, we're ready for takeoff."
 "luke" "good luck, lando"
 "lando" "when we find jabba the hut and that bounty  hunter, we'll contact you."
 "luke" "i'll meet you at the rendezvous point on  tatooine."
 "lando" "princess, we'll find han. i promise."
 "luke" "chewie, i'll be waiting for your signal."
 "luke" "take care, you two. may the force be with you."
 "luke" "ow!"
