"character" "dialogue"
 "emperor" "...are walking into a trap. as is your rebel fleet! it was i who allowed the alliance to know the location of the shield generator. it is quite safe from your pitiful little band. an entire legion of my best troops awaits them."
 "emperor" "oh...i'm afraid the deflector shield will be quite operational when your friends arrive."
 "han" "all right! up! move! come on! quickly! quickly, chewie."
 "leia" "han! hurry! the fleet will be here any moment."
 "han" "charges!  come on, come on!"
 "threepio" "oh, my! they'll be captured!"
 "threepio" "wa-wait! wait, come back! artoo, stay with me."
 "commander" "freeze! you rebel scum."
 "lando" "all wings report in."
 "wedge" "red leader standing by."
 "gray leader" "gray leader standing by."
 "green leader" "green leader standing by."
 "wedge" "lock s-foils in attack positions."
 "ackbar" "may the force be with us."
 "lando" "we've got to be able to get some kind of a reading on that shield, up or down. well, how could they be jamming us if they don't know if we're coming."
 "lando" "break off the attack! the shield is still up."
 "red leader" "i get no reading. are you sure?"
 "lando" "pull up! all craft pull up!"
 "ackbar" "take evasive action! green group, stick close to holding sector mv-7."
 "controller" "admiral, we have enemy ships in sector 47."
 "ackbar" "it's a trap!"
 "lando" "fighters coming in."
 "rebel pilot" "there's too many of them!"
 "lando" "accelerate to attack speed! draw their fire away from the cruisers."
 "wedge" "copy, gold leader."
 "emperor" "come, boy. see for yourself."
 "emperor" "from here you will witness the final destruction of the alliance, and the end of your insignificant rebellion."
 "emperor" "you want this, don't you? the hate is swelling in you now. take your jedi weapon. use it. i am unarmed. strike me down with it. give in to your anger. with each passing moment, you make yourself more my servant."
 "luke" "no!"
 "emperor" "it is unavoidable. it is your destiny. you, like your father, are now mine!"
 "stormtrooper" "all right, move it! i said move it! go on!"
 "threepio" "hello! i say, over there! were you looking for me?"
 "bunker commander" "bring those two down here!"
 "stormtrooper" "let's go!"
 "threepio" "well, they're on their way. artoo, are you sure this was a good idea?"
 "stormtrooper" "freeze! don't move!"
 "threepio" "we surrender."
 "threepio" "ohhh! stand back, artoo."
 "leia" "the code's changed. we need artoo!"
 "han" "here's the terminal."
 "leia" "artoo, where are you? we need you at the bunker right away."
 "threepio" "going? what do you mean, you're going. but-- but going where, artoo? no, what! artoo! oh, this is no time for heroics. come back!"
 "lando" "watch yourself, wedge! three from above!"
 "wedge" "red three, red two, pull in!"
 "red two" "got it!"
 "red three" "three of them coming in, twenty degrees!"
 "wedge" "cut to the left! i'll take the leader! they're heading for the medical frigate."
 "navigator" "pressure's steady."
 "lando" "only the fighters are attacking.  i wonder what those star destroyers are waiting for."
 "commander" "we're in attack position now, sir."
 "piett" "hold here."
 "commander" "we're not going to attack?"
 "piett" "i have my orders from the emperor himself. he has something special planned for them. we only need to keep them from escaping."
 "emperor" "as you can see, my young apprentice, your friends have failed. now witness the firepower of this fully armed and operational battle station.  fire at will, commander."
 "jerjerrod" "fire!"
 "lando" "that blast came from the death star! that thing's operational!  home one, this is gold leader."
 "ackbar" "we saw it. all craft prepare to retreat."
 "lando" "you won't get another chance at this, admiral."
 "ackbar" "we have no choice, general calrissian. our cruisers can't repel firepower of that magnitude."
 "lando" "han will have that shield down. we've got to give him more time."
 "threepio" "we're coming!"
 "han" "come on! come on!"
 "threepio" "oh, artoo, hurry!"
 "threepio" "my goodness! artoo, why did you have to be so brave?"
 "han" "well, i suppose i could hotwire this thing."
 "leia" "i'll cover you."
 "lando" "yes! i said closer! move as close as you can and engage those star destroyers at point- blank range."
 "ackbar" "at that close range, we won't last long against those star destroyers."
 "lando" "we'll last longer then we will against that death star...and we might just take a few of them with us."
 "rebel pilot" "she's gonna blow!"
 "y-wing pilot" "i'm hit!"
 "emperor" "your fleet has lost. and your friends on the endor moon will not survive. there is no escape, my young apprentice. the alliance will die...as will your friends."
 "emperor" "good. i can feel your anger. i am defenseless.  take your weapon! strike me down with all your hatred, and your journey towards the dark side will be complete."
 "walker pilot #1" "look!"
 "pilot #2" "get him off of there!"
 "han" "i think i got it. i got it!"
 "threepio" "oh, princess leia, are you all right?"
 "han" "let's see."
 "leia" "it's not bad."
 "stormtrooper" "freeze!"
 "threepio" "oh, dear."
 "stormtrooper" "don't move!"
 "han" "i love you."
 "leia" "i know."
 "stormtrooper" "hands up! stand up!"
 "han" "stay back."
 "han" "chewie!  get down here!  she's wounded!  no, wait....  i got an idea."
 "emperor" "good.  use your aggressive feelings, boy!  let the hate flow through you."
 "vader" "obi-wan has taught you well."
 "luke" "i will not fight you, father."
 "vader" "you are unwise to lower your defenses."
 "luke" "your thoughts betray you, father. i feel the good in you...the conflict."
 "vader" "there is no conflict."
 "luke" "you couldn't bring yourself to kill me before, and i don't believe you'll destroy me now."
 "vader" "you underestimate the power of the dark side. if you will not fight, then you will meet your destiny."
 "emperor" "good.  good."
 "lando" "watch out. squad at .06."
 "rebel pilot" "i'm on it, gold leader."
 "wedge" "good shot, red two."
 "lando" "now...come on, han, old buddy. don't let me down."
 "han/pilot" "it's over, commander. the rebels have been routed. they're fleeing into the woods. we need reinforcements to continue the pursuit."
 "control room commander" "send three squads to help. open the back door."
 "second commander" "yes, sir."
 "han" "throw me another charge."
 "vader" "you cannot hide forever, luke."
 "luke" "i will not fight you."
 "vader" "give yourself to the dark side. it is the only way you can save your friends. yes, your thoughts betray you. your feelings for them are strong. especially for..."
 "vader" "sister! so...you have a twin sister. your feelings have now betrayed her, too. obi-wan was wise to hide her from me. now his failure is complete. if you will not turn to the dark side, then perhaps she will."
 "luke" "never-r-r!"
 "emperor" "good! your hate has made you powerful. now, fulfill your destiny and take your father's place at my side!"
 "luke" "never! i'll never turn to the dark side. you've failed, your highness. i am a jedi, like my father before me."
 "emperor" "so be it...jedi."
 "han" "move! move!"
 "ackbar" "the shield is down! commence attack on the death star's main reactor."
 "lando" "we're on our way. red group, gold group, all fighters follow me.  told you they'd do it!"
 "emperor" "if you will not be turned, you will be destroyed."
 "emperor" "young fool...only now, at the end, do you understand."
 "emperor" "your feeble skills are no match for the power of the dark side. you have paid the price for your lack of vision."
 "luke" "father, please. help me."
 "emperor" "now, young skywalker...you will die."
 "wedge" "i'm going in."
 "lando" "here goes nothing."
 "lando" "now lock onto the strongest power source. it should be the power generator."
 "wedge" "form up. and stay alert. we could run out of space real fast."
 "lando" "split up and head back to the surface. see if you can get a few of those tie fighters to follow you."
 "pilot" "copy, gold leader."
 "lando" "that was too close."
 "ackbar" "we've got to give those fighters more time. concentrate all fire on that super star destroyer."
 "controller" "sir, we've lost our bridge deflector shield."
 "piett" "intensify the forward batteries. i don't want anything to get through."
 "piett" "intensify forward firepower!"
 "commander" "it's too late!"
 "vader" "luke, help me take this mask off."
 "lure" "but you'll die."
 "vader" "nothing can stop that now. just for once... let me look on you with my own eyes."
 "anakin" "now...go, my son. leave me."
 "luke" "no. you're coming with me. i can't leave you here. i've got to save you."
 "anakin" "you already have, luke. you were right about me. tell your sister...you were right."
 "luke" "father... i won't leave you."
 "wedge" "there it is!"
 "lando" "all right, wedge. go for the power regulator on the north tower."
 "wedge" "copy, gold leader. i'm already on my way out."
 "ackbar" "move the fleet away from the death star."
 "lando" "wedge, i don't think we're going to make it."
 "wedge" "you'll make it. just follow me gold leader."
 "lando" "i promised to return his ship without a scratch...i sure hope that old pirate forgives me."
 "han" "lando..."
 "threepio" "they did it!"
